Current Position Requirments,Current Position,Alternative 1,Alternative 2
"BS or BA with 0  2 years of relevant experience; Ability to accept all projects and instructions in English language and demonstrated ability to work independently on projects  meeting all deadlines set by the Creative Services manager; Detail oriented and be able to multi-task, as well as solve problems analytically.",Graphic Designer,Web Developer,Software Developer
"Degree in Computer Science, Information Technology or related discipline (Bachelor's degree in the relevant field, and Masters degree preferred);  Good knowledge of Object Oriented Programming; At least 5 years of successful experience in software development; At least 3 years of work experience in development of Java based standalone applications and Java2 Enterprise based web-based applications and web services; Strong knowledge of JSP/Servlets/JSF/JDBC; At least 2 years of practical knowledge/programming of client-side Java Script/HTML/XML;  Work experience with and design of complex database systems under MySQL, MS SQL, ORACLE; Experience in a dynamic workplace with solid software developing practice is required. Additional Characteristics: Ability to work under pressure and in multi-task environment;  Ability to work in a team while being self-directed and highly motivated;   Excellent analytical and problem-solving skills and attention to detail; Ability to communicate, read and understand technical documentation in English.",Software Developer,Java Developer,Software Engineer
Bachelor's or Master's degree in Computer Science or a related discipline; Good logical and mathematical skills; Ability to work in a team and under pressure; Ability to work independently when required; Excellent interpersonal skills; Good technical command of English language.,Software Developer,Java Developer,Web Developer
Bachelor's or Master's degree in Computer Science or a related discipline; Good logical and mathematical skills; Ability to work in a team and under pressure; Ability to work independently when required; Excellent interpersonal skills; Good technical command of English language.,Software Developer,Java Developer,Web Developer
From 3 to 5 years of experience in QA; Fast learner; Strong knowledge of written and spoken English language; Good team player; Basic knowledge of programming languages is a plus.,Software QA Engineer,Software Engineer,Software Developer
"B.S. in Computing Science; At least 2 years of relevant work experience; Experience in testing mobile applications is desired; Knowledge of MS SQL; Knowledge of VS TFS and Test Manager; Experience in working with automated testing tools is desired; Ability to work on multiple tasks and projects simultaneously; Mastery of the technical English language; Good communication skills; Good team player; ability to accept criticism; Ability to work in a fast-paced dynamic environment, be flexible and adapt to changing requirements and customer requests.",Software QA Engineer,PHP Developer,.NET Developer
"Good knowledge of C#, XML, HTML, DHTML, Javascript, SQL and webservices; Up to 2 years working in the same environment; Working knowledge of Server-Client type products with using Broadcasting, Message Queuing and other modern technologies; Cute and responsible personality in the work with team; Strong knowledge and experience in .NET technology and good knowledge of Delphi.",Software Developer,Web Developer,PHP Developer
"Knowledge of PHP programming language; At least 1 year of work experience in programming; Knowledge of OOP basics (classes, objects, inheritance and polymorphism); Knowledge of MySQL database; Knowledge of JS framework; Knowledge of HTML/ CSS; Knowledge of CMS; Knowledge of any PHP Framework; Quick learner; Communication skills, analytical mind.",Software Developer,PHP Developer,Web Developer
"1-2 years of professional work experience; Knowledge of Programming (profound); Knowledge of relation database management systems (profound); Perfect knowledge of Armenian language, knowledge of Russian and English languages with the purpose of professional literature reading.",Programmer,Database Admin/Dev,Software Developer
Graphic design and layout skills; Ability to provide creative services and focus on the project;  Creativity and imagination; Flexibility; attention to detail; Deadline-oriented personality; Knowledge of Desktop Publishing tools; Drawing skills; Knowledge of printing techniques and photography; understanding of current trends and styles.,Graphic Designer,Software Engineer,Web Developer
"BS degree in computer engineering or equivalent; Software development experience with C/C++; Knowledge of algorithms and data structures;  Knowledge of QT and STL libraries; Working experience on UNIX/Linux; Experience in Generic programming, C++ templates;  English language communication skills and ability to compile functional and design specifications. Desired skills:  Experience in designing user-friendly GUI; Application performance profiling debugging skills;  Knowledge of core Java; Good knowledge of high-performance computing.",Software Engineer,Software Developer,Senior Web Developer
"Relevant higher education and work experience; Advanced knowledge of graphic software (Adobe Photoshop, Adobe Illustrator, etc.); Experience in publishing design; Fluent knowledge of Armenian and English languages (any additional language is an advantage); Ability to work under pressure and meet strict deadlines; Communicative personality.",Graphic Designer,Web Developer,Software Developer
"At least 3 years of Web application development experience using the .NET platform; Experience in data access technologies (ADO.Net, EF, WCF DS, LINQ to Entities); Experience using web development technologies (ASP.NET MVC); Experience using web service technologies (WCF, REST, JSON); Experience developing UI behavior (HTML5, CSS3, jQuery, Knockout.js); Strong understanding of OOP principles; Experience in the Azure development; Experience in N-tier applications development; Experience working with Microsoft SQL server 2008/ 2012; Experience with TDD and unit testing; Good English language skills, both written and spoken; Excellent teamwork skills; Ability to work independently; Ability to work under pressure.",.NET Developer,Web Developer,Software Engineer
"BS in Computing Science; Mastery of technical English language; At least 3 years of work experience in Android; Strong skills with Multi-threading and asynchronous programming; Strong skills with .NET platform (C#); Strong skills with Android (C# and Java utilities) for Web Service client development (SOAP, REST, JSON); Deep knowledge of Android OS and native libraries; knowledge of iOS is a plus; Experience with Xamarin IDE and Visual Studio IDE 2013+; Proficiency in OOP/ OOD and good knowledge of Design Patterns; Knowledge and experience in WCF, Asp.Net Web API is plus; Good communication skills; Good team player, ability to accept criticism; Ability to work in a fast-paced dynamic environment, flexible and adapt to changing requirements and customer requests.",Android Developer,.NET Developer,Software Developer
"University degree in the relevant field of studies; Strong experience with SQL Server and Transact-SQL; .Net development skills, preferably in C#; Knowledge of ASP.Net, HTML, CSS, JavaScript and AngularJS is a plus; Ability to adapt and learn quickly; Good analytical skills; Ability to work in a team; Good technical level knowledge of the English language.",Software Developer,Web Developer,PHP Developer
"At least 2 years of professional work experience in ASP/ ASP.NET (VisualBasic.NET) and .NET Framework; Knowledge of MS SQL Server, web-services, HTML, CSS, XML, JavaScript and VBScript; Good knowledge of OOP; Knowledge of C++; knowledge of SOAP and JSON is a plus; Baccalaureate degree or higher education in CS or a related field; Fluency in Russian language; Knowledge of technical English language.",Web Developer,Software Developer,.NET Developer
"Bachelors or higher degree in Computer Sciences or a related discipline with at least 4 years of work experience in software development; 3 years of work experience in .NET Framework ASP.NET/C#; Expert knowledge of .NET Framework 2.0 or higher and AJAX; Experience in Test Driven Development (TDD);  Good knowledge of MS SQL Server; Good knowledge of JavaScript and CSS; Multi-tier web applications development experience; Strong communication, problem solving and collaboration skills.",.NET Developer,Software Developer,Web Developer
"MA in CS, Physics, Maths or a related field; Professional C/ C++ programming skills and good knowledge of OOP/ OOD; High-level of knowledge and experience in multithreading programming;  Strong debugging and troubleshooting experience; Clear understanding of software development lifecycles and methodologies; Good knowledge of and experience in HTML, XML; Experience in Stingray Studio is a plus; Experience in development under Linux/ Unix OS and Qt is a plus; Experience in real time development, knowledge of networking protocols such as TCP/ IP, UDP, etc. is a plus; Good written and verbal communication skills in English language.",Software Engineer,Software Developer,Web Developer
"Understanding and ability to leverage iOS features;  Experience in application development for iOS; Good knowledge of Objective-C, Cocoa, XCode and iOS Frameworks; Good skills with iOS utilities for Web Service client development (SOAP, REST, JSON); Full understanding of the iOS development life-cycle including familiarity with significant changes made between releases of operating system versions; Experience of working with Continuous Integration (CI) and TDD on iOS; Solid communication skills and team-working capability; Ability to learn quickly; Good knowledge of English language; Sense of humor.",iOS Developer,Software Engineer,Web Developer
"Strong knowledge of modern Web Standards: HTML5, CSS3; JavaScript/ jQuery experience; ability to write plugins; Experience in PHP object-oriented design, MVC architecture, frameworks and development; Experience in MySQL; Experience in responsive design, jQuery mobile or other approaches used designed for mobile users; Experience with subversion, git or other source control tools; Knowledge in typography, whitespace, and other details that occur at the intersection of design and code; Ability to work independently and as part of a team; Basic knowledge of Adobe Photoshop; Knowledge of design patterns; Good knowledge of English language.",Web Developer,PHP Developer,Graphic Designer
"University degree in the appropriate field of studies; At least 2 years of work experience in the appropriate field; Ability to create professional Web pages using HTML/ HTML5, CSS/ CSS3 technologies; Knowledge of jQuery; Cross Browser experience; Good knowledge of JavaScript; Interest in design; ability to modify things (or add things) to a given design; Details-oriented personality; Problem-solving and analytical skills with the ability to clearly communicate and share solutions with fellow team members; Ability to respect deadlines; Good knowledge of English language.",Web Developer,Software Developer,PHP Developer
"4-year college degree in Computer Sciences or other related technical discipline; MA and PhD are preferred;   Desired experience in designing, developing and troubleshooting software in Java and related web technologies; From 5 to 10 years of experience in programming, especially in Java; At least 4 years of work experience in J2EE development; Previous experience with one or more production/ mission critical web applications is highly desirable;   Working knowledge of and experience in Web technologies and web-based dynamic application development, especially Java Servlets, JSPs and Web Services; Working knowledge of XML, XSLT, HTML, CSS, Java Scripts, AJAX and related technologies; Experience with Java/ RDBMS ORM technologies and DBMS design, as well as programming within web applications; Effective written and oral communication skills;   Knowledge of customer needs and competing products is desirable; Ability to analyze and solve complex software engineering problems; Ability to prioritize work, complete multiple tasks and work under deadline and budget guidelines; Fluency in English language.",Java Developer,Software Engineer,Web Developer
"At least 3 years of work experience; Experience in team work; Good knowledge of OOP principles; Good knowledge of MVC pattern; Ability to work on multiple tasks and to prioritize personal workload; Ability to handle the whole project and lead a small team; Very good knowledge of JSP/ Servlet, J2EE, JSF, Hibernate and Spring; Good knowledge of JavaScript, HTML and CSS; Knowledge of Struts and HTML5 is a plus; Database proficiency in SQLServer and Oracle is a plus.",Java Developer,Web Developer,PHP Developer
"At least 3 years of work experience as a Software Developer; At least 1 year of work experience as an Android Developer; Excellent knowledge of Java and OOP; Excellent knowledge of Android SDK; Knowledge of SQLite database (creating databases, writing queries); Good knowledge in (X)HTML, CSS, JavaScript and XML; Build environment: Maven and Eclipse; OS: Linux Ubuntu; Good knowledge of Linux Operating System: system administration; Ability to work on project with a development team; Problem solving skills; Good communication skills; Good knowledge of English language.",Android Developer,Java Developer,PHP Developer
"Detailed understanding and solid experience in web development, cross-browser development, scripting languages and database systems; Ability to read, understand and modify the existing code; Ability to collaborate closely with the management and other members of the software development team; Highly dynamic and positive personality; excellent people skills and facility in working in a team; PHP programming experience; knowledge of object-oriented programming and version 5; Excellent knowledge of HTML, CSS and Javascript; Work experience with PHP frameworks such as Yii2; Experience with version control systems (such as SVN and Git); Higher education degree from a recognized university; Excellent communication skills, including written communication, personal interaction, and public presentation in the Armenian language; knowledge of the English language is a plus.",Web Developer,PHP Developer,Software Engineer
"2+ years of J2EE development experience;  BS/MS in Computer Science, Engineering, or equivalent; Strong Java skills and object oriented analysis and design experience; Knowledge of JBoss, EJB, MySQL, JSP/Servlet, SOAP, Ajax, HTML, Javascript; Candidate must be hard-working, motivated, innovative and able to work independently and within a team in a fast-paced environment;  Ability to meet tight deadlines and overcome challenges; Knowledge of English language.",Software Engineer,Java Developer,Web Developer
"Excellent proficiency in ASP, C#, ASP.NET, Java Script. Relevant work experience of minimum 1 year.",Programmer,Software Developer,Web Developer
"At least 3 years of work experience as a Software Developer; Excellent knowledge of Java and OOP; Excellent knowledge of Web development; Web Frameworks: Struts, JSP/Servlet and Java Server Faces; Persistence layer: Hibernate and IBATIS; Integration technologies: Spring Framework; Databases: base knowledge with MySQL and Oracle databases; Excellent knowledge of SQL language (writing queries, creating databases, dumping, importing without a graphical user interface); Database modeling skills; Good knowledge of (X)HTML, CSS, JavaScript and XML; Optional technologies: Velocity, Jasper Reports and Facelets; Servers: Tomcat, Apache2; OS: Linux Ubuntu; Good communication skills; Good English language skills; Ability to work on project with a development team; Ability to lead a small development team is a plus; Ability/ willingness for business trips is a plus; Problem solving skills.",Java Developer,Software Developer,Web Developer
"Bachelor's or higher degree in Computer Sciences, Physics, Mathematics or related disciplines; Good grades in undergraduate and other studies; Strong problem-solving skills and ability to be a successful member of a team; Strong knowledge of C#, Microsoft .Net Framework 4.0, Silverlight, ASP.NET MVC3, EF, WCF; Work experience with programming user interfaces; Ability to develop modular, generic and reusable software components; Strong knowledge of relational databases and SQL language; Ability to develop efficient codes; Familiarity with algorithms, ability to estimate algorithm complexity; Familiarity with data structures; Familiarity with architectural and design patterns; Good English language skills including reading, writing, and speaking. Desired Qualifications: Familiarity with Java, C++, and/or other object oriented programming languages; Familiarity with Javascript and related frameworks (JQuery, YUI, etc.); Ability to write programs using different programming languages and environments; Familiarity with workflow engines; Working experience with MS SQL Server and Oracle; Familiarity with BI and data mining techniques; Familiarity with different web development technologies (AJAX, HTML, CSS, etc.).",Senior Web Developer,Software Developer,Software Engineer
"Bachelor's or Master's degree in Computer Science; Minimum 5 years of relevant experience; Fluent in English language (both writing and speaking); Expertise in HTML, CSS, AJAX and JavaScript frameworks; Professional work experience in projects as a Java Developer in J2EE for more than 3 years; Knowledge of agile and scrum environments; Advanced knowledge of OOP and OOD; Web Frameworks: Struts, JSP/Servlets; Oracle/MySQL and MSSQL knowledge; Excellent communication, interpersonal, problem solving and relationship management skills; Ability to communicate well with operations and technology; Ability to work on multiple tasks and to prioritize personal workload; Detail oriented personality and self starter; Desired skills: JBoss, Oracle EclipseLink, Seleniun.",Java Developer,Web Developer,PHP Developer
"Work experience in a relevant field; Knowledge and experience in PHP interfacing with a relational database MySQL; Knowledge and experience with MVC frameworks (Zend,Yii and CodeIgniter); Ability to quickly troubleshoot and repair issues on websites; Experience with web development technologies/ production tools such as JavaScript Libraries and jQuery; Knowledge of and experience in developing, theming, customizing and upgrading open source applications (WordPress, Drupal and Magento); Understanding of cross platform/ browser compatibility issues; Excellent communication and organizational skills.",PHP Developer,Web Developer,Java Developer
"Knowledge of Microsoft SQL Server, Microsoft Visual Studio (Visual Basic and C#), knowledge of Microsoft Dynamics AX (X++) is a plus; Knowledge of automation of financial-economic direction tasks;  Target setting skills; Understanding of database structure development; Knowledge of client part development; Knowledge of developed functional testament; Ability to adapt own or third-party developers programs onto the commercial operation; Ability to work in a team; High sense of responsibility and sociability; Knowledge of Russian language (for working with the integrator) and technical English language (for working with documents).",Programmer,Software Developer,.NET Developer
"At least 1 year of work experience; Experience with team working; Ability to work on multiple tasks and to prioritize personal workload; Very good knowledge of PHP, JavaScript, HTML and CSS; Database proficiency of MySQL; Good knowledge of C# and .NET Framework; Good knowledge of OOP principles; Good knowledge of MVC pattern; Good knowledge of English language. Desired Qualifications: Skills in C/C++, HTML5, iOS SDK and Android SDK; Experience in Windows Mobile development; Database proficiency in SQLServer and Oracle.",PHP Developer,Software Developer,Web Developer
"Higher education (preferably in Media/ Graphical design, Internet); Knowledge of the following programs: Adobe Flash, Adobe Photoshop, Adobe Illustrator, Adobe In Design and Corel Draw; Knowledge of HTML, CSS, Javascript, SEO, web-site administration will be a plus; Refined taste and creative thinking; Well organized, with strong sense of responsibility, disciplined and punctual; Hard working, energetic and enthusiastic; Ability to run several tasks simultaneously; Ability to enjoy life (e.g. playing chess, hiking or performing other activities which makes life fun, etc.).",Graphic Designer,Web Developer,Java Developer
"Higher education in engineering or information technology; 2-3 years of work experience as a Software Engineer with .NET technologies; Object-oriented programming, OOD, Design Patterns, SOA;  Full competency and fluency with C# ASP .Net Framework; web Services (WCF, REST/SOAP/XML-RPC);  Full competency and fluency with MS SQL Server 2008, MySQL; experience with IIS web server, preferable IIS 7.0 or higher;  Windows services, Multithreading, Network programming (sockets/protocols) knowledge is preferable;  Very good understanding of ADO.NET Technology and experience with T-SQL, PL/SQL; experience in PHP and Adobe Photoshop is a plus; experience in HTML, JavaScript, CSS; Experience in Financial field is highly preferred; Applications and services design and implementation skills; Database architecture design skills; Open Source systems/packages and application analysis, configuration, compilation, installation, modification and maintenance skills; Ability to organize and manage multiple assignments within critical deadlines; Good knowledge of Armenian, Russian and English (also technical) languages; Good communication skills.",Software Engineer,Software Developer,Web Developer
"At least 4 years of experience in developing applications in C#, ASP .NET and SQL Server; Experience in coding of T-SQL statements, stored procedures, triggers and functions; Understanding of the mobile-responsive application development; Knowledge of jQuery and JavaScript is a big plus; Demonstrated ability to evaluate user needs or specifications and translate them into a logical and practical set of software components; Ability to own your assignments, formulate your own questions and work with team members to get the answers you need in order to complete assignments; Excellent analytical and problem-solving skills.",.NET Developer,Software Developer,Software Engineer
"Strong object-oriented design skills; Strong analysis and problem solving skills; Strong math skills; Experience with a full product development cycle; Ability to anticipate and prevent problems; Ability to meet a schedule; Communications skills, ability to work well individually and as part of a team of programmers; 3-5 years of experience programming in C++; Passion for computer games.",Software Engineer,Software Developer,Software QA Engineer
"University degree; Experience with Objective-C; experience in developing applications for iOS and Xcode; Knowledge of the common design patterns, frameworks and libraries for iOS; Initiative taking person with problem-solving skills; High sense of responsibility.",iOS Developer,Software Developer,Software Engineer
"Advanced knowledge of OOP; Professional work experience in projects as a Java-developer in J2EE (JSP, Servlets, JDBC, EJB, JMS, Struts) for more than a year; Professional work experience in the development of multi-layered client-server applications, client and server Web application components; Professional work experience in Oracle and MS SQL databases; Experience in IBM WebSphere, WebLogic, JBoss, JRun; Ability to develop quality code, apply proper language constructions, and use quality algorithms; Willingness  to increase your competencies and professionalism; Ability to identify problems on the fly, separate joint moments; Basic knowledge of English language. Desired qualifications: Ability to responsibly complete assigned tasks according to deadlines; Highly productive: ability to work under pressure, adapt to dynamic business environment, make decisions and take responsibility; Energetic, capable of being a team leader; Ability to appropriately make decisions on issues of different complexity for areas of responsibility; Ability to express your thoughts clearly.",Java Developer,Software Developer,Web Developer
"At least 4-6 years of extensive development experience, and at least 3 years of experience with the following technologies: pure C# code both on the middle tier and as part of the web UI layer of ASP.NET; IIS 6 and/ or IIS 7; MS SQL Server 2000, 2005 or 2008; Strong knowledge of C#, WCF, MVC, .NET (2.0, 3.0, 3.5, 4.0), SOAP and XML; Understanding of OTA XML Messaging is a plus; Knowledge of Flash development and Action script is preferable; Familiarity with the .NET Framework, specifically the following packages: messaging, threading, generic collections, custom controls and LINQ to SQL classes and also ADO.NET; Experience with technologies such as jQuery, java Script, HTML, CSS, XML, and related tools; Extensive programming experience with standard management and instrumentation API's; Ability to work independently, as well as with other members in the group; Thorough understanding of software development processes and methodologies and knowledge of complete product development life cycle; Strong inter-personnel skills, ability to work both independently and as part of a global team and thrive on technical challenges; Excellent communication and writing skills, and experience in writing product specifications and technical documentation; Good knowledge of the English language; Self-driven, hard-working personality; Good team player.",Software Engineer,Software Developer,Web Developer
Higher Technical education (preferably in IT sphere); Experience in network maintenance and administration; Knowledge of MS Windows OS Family; Intermediate knowledge of English and Russian languages; Communication skills; Team player abilities.,IT Specialist,Database Admin/Dev,Software Developer
"Bachelors degree in a professional field (Engineering or Information Technology preferred) or comparable experience; 3 years of work experience as a database administrator, preferably in the telecom industry with an emphasis on database performance tuning and optimizations; Excellent technical knowledge of telecom business related database requirements; Full mastery of Oracle and MS SQL Server databases; Full mastery of TSQL and PLSQL languages; Good knowledge of IP networking, Windows and UNIX operating systems; Full mastery of SQL languages and optimizations; Good knowledge of Armenian, English and Russian languages; Ability to organize and manage multiple assignments within critical deadlines; Ability to interact in a positive manner with internal and external contacts.",Database Admin/Dev,Software Developer,Software Engineer
"Knowledge of Visual Basic, SQL Server, SQL and MS Access; Good knowledge of PC/ LAN software and hardware; Knowledge of C++ is an advantage; Knowledge of Armenian, Russian and English languages; Knowledge of technical English language.",Programmer,Software Developer,IT Specialist
"BS in Computing Science; At least 2 years of relevant work experience; Experience of testing mobile applications is desired; Knowledge of MS SQL; Knowledge of VS TFS and Test Manager; Experience in working with automated testing tools is desired; Ability to work on multiple tasks and projects simultaneously; Mastery of technical English language; Good communication skills; Good team player, ability to accept criticism; Ability to be flexible and adapt to changing requirements and customer requests.",Software QA Engineer,Software Developer,PHP Developer
Bachelor's or higher degree in Computer Sciences or a related discipline; At least 2 years of work experience in .Net Framework (C#); Work experience in ASP.NET (JavaScript and Ajax); Professional skills in OOP/ OOD and knowledge of Design Patterns; Work experience in SQL database design and programming; Work experience in development of multi-layered client-server applications and Web Services (WCF) is an advantage; Punctuality and accuracy in work; ability to work efficiently as a part of team; Good communication skills in English language.,.NET Developer,Software Developer,Web Developer
"Knowledge of relational databases design and systems, SQL programming skills; Strong Knowledge of PHP, XML, JavaScript, SQL, XSL, CSS, HTML; Expierence with WML (optional); Understanding of search engine optimisation and content managed web development; Working knowledge of cross-browser, usability and accessibility principles; Work experience with Linux OS; Time estimation and time management.",Database Admin/Dev,Web Developer,Java Developer
"At least 2 years of working experience with C#/ .NET; Bachelor's or higher degree in Computer Sciences, Physics, Mathematics or related disciplines; Good grades in undergraduate and other studies; Strong problem-solving skills and ability to be a successful member of a team; Strong knowledge of C#, Microsoft .Net Framework 4.0, Silverlight, ASP.NET MVC3, EF, WCF; Working experience with MVC and MVVM patterns; Working experience with programming user interfaces; Working experience with relational databases and SQL language; Ability to develop efficient codes; Familiarity with algorithms, ability to estimate algorithm complexity; Familiarity with data structures; Good English language skills including reading, writing, and speaking; Flexibility in learning and applying different programming languages and technologies. Desired qualifications: Familiarity with Java, C++, or other object oriented programming language; Familiarity with Javascript and related frameworks (JQuery, YUI, etc.); Ability to write programs using different programming languages and environments; Familiarity with different web development technologies (AJAX, HTML, CSS, etc.); Familiarity with architectural and design patterns.",Software Developer,Software Engineer,Web Developer
"At least 5 years of work experience as Software Developer; Excellent knowledge in Java and OOP; Excellent knowledge in Web development; Web Frameworks: Struts, JSP/Servlet, Java Server Faces; Persistence Layer: OJB, IBATIS, Hibernate; Integration Technologies: Spring Framework; Databases: Base knowledge with MySQL and Oracle databases; Excellent knowledge in SQL language (writing queries, creating databases, dumping, importing without a graphical user interface); Database Modeling skills; Good knowledge in (X)HTML, CSS, JavaScript, XML; Optional technologies: Velocity, Jasper Reports, Facelets; Build Environment: Ant, Maven, Eclipse; Servers: Tomcat, Apache2 Webserver; OS: Linux Ubuntu; High skills with Linux Operating System: system administration, writing Shell scripts etc.; Ability to work on project with a development team; Ability to lead a small development team would be a plus; Problem solving skills; Good communication skills; Good English language skills.",Java Developer,Software Engineer,PHP Developer
"University degree in the appropriate field of studies; At least 3 years of work experience; Knowledge of ASP.NET and C#; Work experience with HTML, CSS and JavaScript; Database proficiency in MSSQL; Knowledge of DHTML: JavaScript, AJAX, CSS2, CSS3, HTML4 and HTML5; Knowledge of OOP (Object-oriented programming) principles; Knowledge of other programming languages, such as Java is an advantage; Ability to work on multiple tasks and prioritize personal workload; Ability to work in a team.",Web Developer,Java Developer,PHP Developer
"BS in Computer Science or any related technical field;  At least 2 years of work experience as a Software Developer;  Good knowledge of OOP;  Good knowledge of C#, ASP.NET MVC, ADO.Net and web services; Knowledge of (X) HTML, CSS, JavaScript and XML;  Knowledge of WCF,WPF is a big advantage;  Knowledge of MS SQL server, developing queries and stored procedures; Fluency in Armenian language; good knowledge of Russian and English languages;  Problem-solving skills;  Familiarity with software development process.",Software Developer,.NET Developer,Web Developer
"University degree in a relevant field;  Strong knowledge of programming techniques and software development process;  Hands on experience in PHP and Java backend development; Hands on experience in HTML, JavaScript and CSS frontend development;  Strong knowledge of MySQL;  Ability to work under pressure in a fast changing environment;  Ability to work in close communication with team members.",Software Developer,Web Developer,PHP Developer
"Bachelor's degree in Computer Sciences or a related field; higher degree is a plus; At least 2 years of work experience with the following technologies: HTML/ CSS, JavaScript, AJAX, PHP, cakePHP or other frameworks; Experience in object oriented programming/ modular programming;  Understanding of MVC design patterns and frameworks; Knowledge of SQL/ MySQL and database design/ modeling; Understanding of browser specific compatibility issues; Knowledge of Apache server configuration/ administration is a plus; Knowledge of Linux command line is a plus; Ability to work both as an individual and as a part of a team;  Good written and verbal skills in English language; Ability to learn quickly.",Web Developer,PHP Developer,Java Developer
Good knowledge of PL/SQL programming language; Very good English speaking and writing skills.,Database Admin/Dev,Software Engineer,Software Developer
"University degree in the appropriate field of studies; At least 2 years of work experience in the appropriate field; Ability to create professional web pages using HTML/ HTML5, CSS/ CSS3 technologies; Ability to work with big data, develop modules which will meet high performance thresholds; Knowledge of jQuery; Cross Browser experience; Good knowledge of JavaScript; Interest in design; ability to modify things (or add things) to a given design; Detail-oriented personality; Problem-solving and analytical skills with the ability to clearly communicate and share solutions with fellow team members; Ability to respect deadlines; Good knowledge of English language.",Web Developer,Software Developer,PHP Developer
